ID,Tipo_Servico,Categoria,Status,Departamento,Cliente,Data_Abertura,Hora_Abertura,Tempo_Resolucao_Horas,SLA_Contratado_Horas,Dentro_SLA,Satisfacao_Cliente,Complexidade,Responsavel
3946,Incidente Crítico,Média Prioridade,Resolvido,Operações,Cliente E,2025-03-11,8:35,51,72,Sim,4,Alta,Tecnico_19
1571,Suporte Técnico,Alta Prioridade,Resolvido,TI,Cliente A,2025-04-11,8:14,7,72,Sim,3,Média,Tecnico_6
8829,Atendimento ao Cliente,Média Prioridade,Em Andamento,Comercial,Cliente D,2025-05-18,12:22,156,96,Não,2,Média,Tecnico_3
6155,Atendimento ao Cliente,Média Prioridade,Resolvido,Financeiro,Cliente E,2025-04-19,16:33,231,24,Não,1,Baixa,Tecnico_9
9005,Suporte Técnico,Alta Prioridade,Pendente,Comercial,Cliente B,2025-05-15,9:51,13,72,Sim,4,Alta,Tecnico_11
2997,Solicitação de Serviço,Baixa Prioridade,Em Andamento,Financeiro,Cliente B,2024-12-15,12:15,188,72,Não,2,Baixa,Tecnico_12
8261,Incidente Crítico,Média Prioridade,Em Andamento,Operações,Cliente A,2025-01-26,16:15,149,96,Não,4,Média,Tecnico_5
9105,Atendimento ao Cliente,Média Prioridade,Cancelado,Financeiro,Cliente C,2025-01-08,9:59,151,24,Não,5,Média,Tecnico_2
4466,Manutenção,Baixa Prioridade,Pendente,TI,Cliente A,2025-03-30,13:57,6,48,Sim,3,Média,Tecnico_5
8873,Solicitação de Serviço,Alta Prioridade,Resolvido,Operações,Cliente E,2025-06-01,15:06,149,24,Não,2,Alta,Tecnico_7
8802,Manutenção,Média Prioridade,Cancelado,RH,Cliente C,2025-05-25,8:59,134,96,Não,3,Alta,Tecnico_8
3703,Solicitação de Serviço,Média Prioridade,Cancelado,RH,Cliente A,2025-03-19,12:40,188,72,Não,2,Baixa,Tecnico_3
4953,Solicitação de Serviço,Média Prioridade,Em Andamento,Financeiro,Cliente E,2025-04-14,12:15,46,24,Não,3,Baixa,Tecnico_17
8035,Suporte Técnico,Baixa Prioridade,Resolvido,Financeiro,Cliente A,2025-05-30,15:12,147,96,Não,3,Alta,Tecnico_2
1234,Incidente Crítico,Média Prioridade,Resolvido,Comercial,Cliente D,2025-04-14,14:48,77,24,Não,1,Alta,Tecnico_5
1616,Solicitação de Serviço,Média Prioridade,Pendente,RH,Cliente C,2025-02-15,18:32,58,24,Não,4,Baixa,Tecnico_3
5667,Incidente Crítico,Média Prioridade,Resolvido,Financeiro,Cliente E,2025-02-06,8:31,216,24,Não,2,Baixa,Tecnico_15
5932,Manutenção,Média Prioridade,Cancelado,Comercial,Cliente D,2025-03-24,15:05,115,72,Não,5,Baixa,Tecnico_2
4601,Solicitação de Serviço,Alta Prioridade,Cancelado,TI,Cliente A,2025-04-05,11:09,39,24,Não,1,Alta,Tecnico_11
6662,Incidente Crítico,Baixa Prioridade,Resolvido,Comercial,Cliente C,2025-02-28,8:20,137,96,Não,3,Baixa,Tecnico_13
3988,Incidente Crítico,Média Prioridade,Cancelado,RH,Cliente E,2025-01-30,12:21,1,72,Sim,1,Baixa,Tecnico_3
9466,Atendimento ao Cliente,Alta Prioridade,Em Andamento,Comercial,Cliente D,2025-05-05,10:57,129,48,Não,1,Média,Tecnico_10
8014,Suporte Técnico,Média Prioridade,Pendente,RH,Cliente D,2025-03-02,16:37,56,24,Não,5,Alta,Tecnico_10
2051,Suporte Técnico,Alta Prioridade,Cancelado,Comercial,Cliente D,2025-02-03,13:10,224,48,Não,3,Média,Tecnico_4
4823,Suporte Técnico,Alta Prioridade,Pendente,RH,Cliente E,2025-04-05,9:50,173,48,Não,5,Alta,Tecnico_7
3200,Suporte Técnico,Alta Prioridade,Resolvido,RH,Cliente E,2025-01-05,15:26,74,96,Sim,3,Alta,Tecnico_18
7255,Incidente Crítico,Alta Prioridade,Resolvido,Operações,Cliente C,2025-03-07,15:48,6,72,Sim,3,Média,Tecnico_9
9256,Solicitação de Serviço,Média Prioridade,Em Andamento,Operações,Cliente E,2025-03-19,13:11,101,72,Não,2,Média,Tecnico_2
1538,Atendimento ao Cliente,Baixa Prioridade,Em Andamento,Comercial,Cliente C,2025-02-15,16:54,123,96,Não,1,Baixa,Tecnico_17
1850,Suporte Técnico,Alta Prioridade,Resolvido,Financeiro,Cliente C,2025-04-09,15:16,237,24,Não,1,Baixa,Tecnico_10
4255,Solicitação de Serviço,Média Prioridade,Em Andamento,Financeiro,Cliente B,2025-02-28,15:55,176,96,Não,3,Baixa,Tecnico_17
2711,Suporte Técnico,Alta Prioridade,Resolvido,Operações,Cliente A,2025-05-13,8:23,59,24,Não,3,Baixa,Tecnico_7
2301,Solicitação de Serviço,Baixa Prioridade,Cancelado,Financeiro,Cliente A,2025-04-24,16:22,49,72,Sim,3,Alta,Tecnico_12
3469,Incidente Crítico,Baixa Prioridade,Resolvido,Operações,Cliente C,2025-03-26,15:20,229,96,Não,5,Baixa,Tecnico_8
7487,Incidente Crítico,Alta Prioridade,Em Andamento,TI,Cliente E,2025-05-14,8:47,17,48,Sim,1,Média,Tecnico_5
7700,Incidente Crítico,Média Prioridade,Pendente,RH,Cliente C,2025-02-12,17:48,228,48,Não,3,Média,Tecnico_10
1914,Manutenção,Baixa Prioridade,Em Andamento,RH,Cliente B,2025-05-31,18:53,149,48,Não,5,Média,Tecnico_16
2078,Atendimento ao Cliente,Média Prioridade,Pendente,Financeiro,Cliente C,2025-04-19,11:42,20,72,Sim,5,Baixa,Tecnico_11
2467,Incidente Crítico,Baixa Prioridade,Cancelado,Comercial,Cliente C,2025-03-22,18:49,187,72,Não,3,Baixa,Tecnico_1
9301,Suporte Técnico,Alta Prioridade,Em Andamento,Comercial,Cliente B,2025-05-07,16:38,234,48,Não,2,Média,Tecnico_17
5950,Manutenção,Baixa Prioridade,Resolvido,TI,Cliente C,2025-05-13,13:01,169,96,Não,5,Baixa,Tecnico_20
1669,Manutenção,Alta Prioridade,Em Andamento,Operações,Cliente A,2025-01-20,9:14,75,48,Não,5,Baixa,Tecnico_11
8048,Incidente Crítico,Alta Prioridade,Resolvido,TI,Cliente E,2025-04-05,12:39,170,72,Não,2,Alta,Tecnico_15
1688,Manutenção,Baixa Prioridade,Em Andamento,Operações,Cliente C,2025-01-28,8:22,82,48,Não,3,Média,Tecnico_5
2198,Solicitação de Serviço,Média Prioridade,Cancelado,Financeiro,Cliente B,2025-05-16,10:13,46,48,Sim,4,Média,Tecnico_9
2380,Atendimento ao Cliente,Alta Prioridade,Em Andamento,Comercial,Cliente D,2025-04-12,15:22,152,24,Não,1,Alta,Tecnico_12
9669,Atendimento ao Cliente,Baixa Prioridade,Resolvido,TI,Cliente E,2025-05-21,16:52,106,72,Não,3,Média,Tecnico_12
5080,Manutenção,Baixa Prioridade,Em Andamento,TI,Cliente C,2025-02-14,16:48,224,96,Não,2,Média,Tecnico_19
4672,Suporte Técnico,Baixa Prioridade,Resolvido,Operações,Cliente C,2025-02-18,17:21,216,48,Não,2,Baixa,Tecnico_20
7661,Solicitação de Serviço,Baixa Prioridade,Pendente,Financeiro,Cliente B,2025-05-19,16:40,211,96,Não,1,Baixa,Tecnico_17
6562,Atendimento ao Cliente,Baixa Prioridade,Cancelado,Financeiro,Cliente A,2025-01-07,11:18,171,96,Não,2,Alta,Tecnico_2
9699,Manutenção,Alta Prioridade,Resolvido,Comercial,Cliente A,2025-02-18,8:13,53,96,Sim,5,Alta,Tecnico_19
2045,Manutenção,Média Prioridade,Cancelado,RH,Cliente A,2025-05-02,11:19,164,48,Não,5,Baixa,Tecnico_1
3528,Atendimento ao Cliente,Alta Prioridade,Pendente,Operações,Cliente D,2025-03-30,16:51,10,96,Sim,2,Média,Tecnico_9
1483,Atendimento ao Cliente,Média Prioridade,Cancelado,RH,Cliente C,2025-03-03,18:10,173,96,Não,5,Alta,Tecnico_16
2652,Solicitação de Serviço,Alta Prioridade,Em Andamento,TI,Cliente E,2025-02-01,8:58,144,48,Não,5,Média,Tecnico_13
2304,Solicitação de Serviço,Alta Prioridade,Em Andamento,Financeiro,Cliente A,2025-01-14,13:57,91,48,Não,5,Alta,Tecnico_10
3847,Atendimento ao Cliente,Média Prioridade,Cancelado,RH,Cliente D,2025-03-21,13:22,50,48,Não,1,Baixa,Tecnico_6
9278,Suporte Técnico,Baixa Prioridade,Resolvido,Financeiro,Cliente C,2025-06-06,10:44,171,72,Não,1,Média,Tecnico_12
1431,Incidente Crítico,Média Prioridade,Pendente,Financeiro,Cliente B,2025-04-16,10:05,153,96,Não,2,Média,Tecnico_18
5744,Suporte Técnico,Baixa Prioridade,Pendente,RH,Cliente E,2025-04-08,15:05,132,96,Não,3,Alta,Tecnico_17
4977,Incidente Crítico,Alta Prioridade,Em Andamento,TI,Cliente C,2025-04-10,13:38,62,48,Não,5,Média,Tecnico_4
5521,Atendimento ao Cliente,Média Prioridade,Cancelado,Operações,Cliente A,2025-03-15,15:32,160,48,Não,4,Baixa,Tecnico_11
1484,Suporte Técnico,Alta Prioridade,Resolvido,TI,Cliente A,2025-02-10,8:55,240,72,Não,4,Alta,Tecnico_1
4222,Solicitação de Serviço,Média Prioridade,Resolvido,Operações,Cliente C,2024-12-18,15:40,205,96,Não,2,Alta,Tecnico_12
2515,Atendimento ao Cliente,Alta Prioridade,Pendente,Operações,Cliente D,2025-03-10,10:34,175,48,Não,5,Baixa,Tecnico_13
8827,Suporte Técnico,Baixa Prioridade,Em Andamento,TI,Cliente D,2025-05-24,13:31,100,72,Não,3,Baixa,Tecnico_2
2220,Solicitação de Serviço,Média Prioridade,Resolvido,TI,Cliente D,2025-01-27,10:03,135,48,Não,2,Baixa,Tecnico_20
2420,Incidente Crítico,Baixa Prioridade,Resolvido,Financeiro,Cliente A,2025-06-02,10:22,186,96,Não,1,Alta,Tecnico_11
8549,Atendimento ao Cliente,Alta Prioridade,Em Andamento,TI,Cliente A,2024-12-20,12:49,78,48,Não,2,Média,Tecnico_16
7545,Suporte Técnico,Baixa Prioridade,Resolvido,Comercial,Cliente C,2025-01-03,15:02,122,72,Não,1,Média,Tecnico_10
8716,Atendimento ao Cliente,Alta Prioridade,Cancelado,Comercial,Cliente E,2025-02-17,16:32,20,72,Sim,2,Baixa,Tecnico_14
7906,Suporte Técnico,Média Prioridade,Resolvido,Operações,Cliente A,2025-02-10,14:10,207,48,Não,2,Média,Tecnico_15
6248,Suporte Técnico,Média Prioridade,Resolvido,RH,Cliente B,2024-12-17,9:35,64,24,Não,4,Média,Tecnico_11
9366,Solicitação de Serviço,Baixa Prioridade,Pendente,RH,Cliente D,2024-12-27,16:05,205,96,Não,1,Média,Tecnico_20
4132,Suporte Técnico,Média Prioridade,Pendente,Comercial,Cliente C,2025-03-09,12:53,199,24,Não,4,Baixa,Tecnico_12
4950,Manutenção,Alta Prioridade,Pendente,Comercial,Cliente A,2025-03-04,13:06,143,96,Não,1,Média,Tecnico_3
7692,Solicitação de Serviço,Baixa Prioridade,Cancelado,Financeiro,Cliente B,2025-01-18,18:04,79,72,Não,5,Alta,Tecnico_1
8323,Atendimento ao Cliente,Baixa Prioridade,Resolvido,Operações,Cliente D,2025-05-02,8:55,201,96,Não,1,Baixa,Tecnico_18
4496,Manutenção,Média Prioridade,Em Andamento,Financeiro,Cliente C,2025-02-18,11:17,19,48,Sim,3,Alta,Tecnico_16
8710,Incidente Crítico,Alta Prioridade,Pendente,Financeiro,Cliente B,2025-03-14,14:24,219,48,Não,1,Média,Tecnico_15
5885,Solicitação de Serviço,Baixa Prioridade,Cancelado,RH,Cliente B,2025-06-04,9:51,158,72,Não,3,Baixa,Tecnico_10
7572,Manutenção,Alta Prioridade,Resolvido,TI,Cliente D,2025-06-04,15:40,30,72,Sim,5,Alta,Tecnico_13
4119,Incidente Crítico,Alta Prioridade,Resolvido,RH,Cliente A,2025-02-20,17:11,74,48,Não,4,Baixa,Tecnico_14
1304,Solicitação de Serviço,Baixa Prioridade,Em Andamento,Operações,Cliente D,2025-01-23,13:54,157,24,Não,5,Média,Tecnico_7
9213,Suporte Técnico,Média Prioridade,Pendente,TI,Cliente C,2025-03-19,11:00,97,24,Não,2,Alta,Tecnico_19
7860,Manutenção,Baixa Prioridade,Em Andamento,Financeiro,Cliente A,2025-02-20,12:54,172,24,Não,2,Média,Tecnico_20
7337,Solicitação de Serviço,Alta Prioridade,Cancelado,TI,Cliente B,2025-02-06,9:49,28,72,Sim,3,Alta,Tecnico_19
8424,Atendimento ao Cliente,Média Prioridade,Resolvido,Comercial,Cliente E,2025-03-10,10:45,67,96,Sim,5,Alta,Tecnico_19
8925,Solicitação de Serviço,Média Prioridade,Cancelado,Financeiro,Cliente D,2025-01-01,8:19,8,48,Sim,3,Média,Tecnico_15
7988,Solicitação de Serviço,Média Prioridade,Pendente,Comercial,Cliente A,2025-02-05,9:59,158,72,Não,3,Baixa,Tecnico_3
3166,Manutenção,Baixa Prioridade,Cancelado,TI,Cliente B,2025-02-02,11:19,74,72,Não,5,Baixa,Tecnico_15
8942,Incidente Crítico,Alta Prioridade,Cancelado,Comercial,Cliente D,2025-05-07,10:34,229,72,Não,5,Alta,Tecnico_15
6389,Incidente Crítico,Alta Prioridade,Resolvido,TI,Cliente C,2025-03-28,12:41,59,96,Sim,4,Alta,Tecnico_1
2656,Manutenção,Baixa Prioridade,Em Andamento,Comercial,Cliente A,2024-12-26,10:25,42,48,Sim,2,Alta,Tecnico_2
3076,Suporte Técnico,Baixa Prioridade,Em Andamento,RH,Cliente E,2025-01-10,11:53,44,96,Sim,5,Baixa,Tecnico_8
4749,Solicitação de Serviço,Baixa Prioridade,Resolvido,Financeiro,Cliente C,2025-02-06,8:32,123,96,Não,1,Média,Tecnico_9
1191,Atendimento ao Cliente,Baixa Prioridade,Pendente,Financeiro,Cliente E,2025-03-29,15:10,37,48,Sim,2,Baixa,Tecnico_5
3296,Suporte Técnico,Baixa Prioridade,Em Andamento,Operações,Cliente C,2025-04-04,15:04,99,72,Não,1,Alta,Tecnico_9
5305,Solicitação de Serviço,Alta Prioridade,Pendente,Comercial,Cliente A,2025-01-14,13:53,166,48,Não,2,Alta,Tecnico_19
9108,Manutenção,Média Prioridade,Resolvido,RH,Cliente E,2025-01-01,8:40,137,48,Não,3,Baixa,Tecnico_19
6005,Incidente Crítico,Baixa Prioridade,Em Andamento,RH,Cliente A,2024-12-16,10:42,193,48,Não,1,Média,Tecnico_18
7955,Atendimento ao Cliente,Média Prioridade,Em Andamento,Comercial,Cliente B,2025-03-31,16:23,177,24,Não,2,Baixa,Tecnico_9
9852,Incidente Crítico,Alta Prioridade,Em Andamento,Comercial,Cliente C,2025-01-20,18:26,44,72,Sim,1,Média,Tecnico_3
8771,Atendimento ao Cliente,Alta Prioridade,Em Andamento,Financeiro,Cliente C,2025-05-14,10:12,170,72,Não,3,Baixa,Tecnico_2
9113,Solicitação de Serviço,Média Prioridade,Cancelado,TI,Cliente D,2025-02-19,16:58,224,96,Não,1,Baixa,Tecnico_14
2444,Incidente Crítico,Alta Prioridade,Em Andamento,RH,Cliente A,2025-04-07,14:44,131,48,Não,1,Alta,Tecnico_13
2592,Manutenção,Média Prioridade,Cancelado,Comercial,Cliente B,2024-12-21,17:58,214,72,Não,3,Baixa,Tecnico_16
8341,Suporte Técnico,Alta Prioridade,Resolvido,Comercial,Cliente C,2025-01-21,14:13,50,48,Não,4,Média,Tecnico_12
