Código UF,Sigla,Estado,Capital,Gentílico,IDH,Área,População,População estimada,Densidade demográfica,Receita,Renda,Veículos,Matrículas,Despesas
12, AC,Acre,Rio Branco,acriano,0.71,164173.525,830018,880631,5.06,11137410342.21,1271,367440,147350,10302403420.85
27, AL,Alagoas,Maceió,alagoano,0.684,27830.661,3127683,3220104,112.38,20927817222.51,1331,1166897,439014,17963587096.92
13, AM,Amazonas,Manaus,amazonense,0.7,1559256.365,3941613,4281209,2.53,33030751885.07,1238,1202431,692623,30029370828.75
16, AP,Amapá,Macapá,amapaense,0.688,142470.762,733759,802837,5.15,11249572238.02,1514,258190,131948,8505172844.49
29, BA,Bahia,Salvador,baiano,0.691,564760.429,14141626,14850513,25.04,80290524858.16,1366,5389511,1865574,77868037416.52
23, CE,Ceará,Fortaleza,cearense,0.734,148894.447,8794957,9233656,59.07,46124793433.02,1225,3905225,1134636,37423640356.93
53, DF,Distrito Federal,Brasília,brasiliense,0.814,5760.783,2817381,2982818,489.06,36479338564.35,3444,2159414,361438,33897143557.68
32, ES,Espírito Santo,Vitória,capixaba ou espírito-santense,0.771,46074.448,3833712,4102129,83.21,34291544903.51,2111,2494996,498357,25098719258.87
52, GO,Goiás,Goiânia,goiano,0.737,340242.86,7056495,7350483,20.74,57825598739.32,2098,4926608,868222,39420594475.73
21, MA,Maranhão,São Luís,maranhense,0.676,329651.495,6776699,7010960,20.56,31379701580.17,1077,2248041,1045700,24496014978.83
31, MG,Minas Gerais,Belo Horizonte,mineiro,0.774,586513.984,20539989,21322691,35.02,138168422501.96,2001,13975854,2343279,110408991645.56
50, MS,Mato Grosso do Sul,Campo Grande,sul-mato-grossense ou mato-grossense-do-sul,0.742,357142.01,2757013,2901895,7.72,33155489102,2169,1967775,393616,24358822183.06
51, MT,Mato Grosso,Cuiabá,mato-grossense,0.736,903208.362,3658649,3836399,4.05,54372352372.25,2276,2831640,507089,37014020738.27
15, PA,Pará,Belém,paraense,0.69,1245870.242,8120131,8664306,6.52,52747856526.44,1344,2810011,1331723,43981234831.53
25, PB,Paraíba,João Pessoa,paraibano,0.698,56467.242,3974687,4145040,70.39,23462797714.09,1401,1681969,523996,17883420827.99
26, PE,Pernambuco,Recife,pernambucano,0.719,98067.877,9058931,9539029,92.37,53294049711.5,1453,3730069,1229419,48872197159.8
22, PI,Piauí,Teresina,piauiense,0.69,251755.481,3271199,3375646,12.99,22928941802.89,1350,1527217,439111,20000924386.53
41, PR,Paraná,Curitiba,paranaense,0.769,199298.981,11444380,11824665,57.42,92067885773.5,2482,9179769,1365869,67607620659.63
33, RJ,Rio de Janeiro,Rio de Janeiro,fluminense,0.762,43750.425,16055174,17219679,366.97,121957245523.51,2490,7973983,1945098,102289960365.4
24, RN,Rio Grande do Norte,Natal,potiguar ou norte-rio-grandense ou rio-grandense-do-norte,0.728,52809.599,3302729,3446071,62.54,22703397803.27,1616,1629028,437133,19486967053.93
11, RO,Rondônia,Porto Velho,rondoniense ou rondoniano,0.7,237754.171,1581196,1746227,6.65,17855762489.37,1717,1243638,227246,13605769496.55
14, RR,Roraima,Boa Vista,roraimense,0.699,223644.534,636707,716793,2.85,8846153006.77,1538,289075,111096,7473220866.93
43, RS,Rio Grande do Sul,Porto Alegre,gaúcho ou sul-rio-grandense,0.771,281707.15,10882965,11229915,38.63,88012101405.33,2608,8311600,1255794,78352533473.39
42, SC,Santa Catarina,Florianópolis,catarinense ou barriga-verde,0.792,95730.69,7610361,8058441,79.5,61440241790.39,2601,6442054,941272,43927295658.78
28, SE,Sergipe,Aracaju,sergipano ou sergipense,0.702,21938.188,2210004,2291077,100.74,17151927623.32,1473,1005290,305930,13470989190.76
35, SP,São Paulo,São Paulo,paulista,0.806,248219.485,44411238,45973194,178.92,343634435413.4,2662,34332818,5343271,328315580393.5
17, TO,Tocantins,Palmas,tocantinense,0.731,277423.627,1511460,1577342,5.45,20836869522.78,1737,923976,222404,15873514926.43
